#Type,Description      , Circuits, MaxLoad, Clock, Xmit, Ports, Intensity, Servo, SSR, Input, Ptype, spare, spare
  025,CTB08   Ver 1.0  , 8       , 112    , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0   
  026,CTB08   Ver 2.0  , 8       , 112    , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0   
  027,CTB08   Ver 3.0  , 8       , 112    , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0   
  030,CTB08S  Ver 1.0  , 8       , 230    , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0   
  031,CTB08S  Ver 4.?  , 8       , 230    , 0    , 0   , 0    , 0        , 0    , 0  , 0    , 0    , 0    , 0   
  035,CMB24D  Ver 1.?  , 24      , 31000  , 0    , 1   , 1    , 1        , 0    , 0  , 1    , 0    , 0    , 0 
  040,InpPup  Ver 1.?  , 0       , 0      , 0    , 0   , 0    , 1        , 0    , 0  , 1    , 0    , 0    , 0 
  046,SrvPup  Ver 1.?  , 8       , 31000  , 0    , 1   , 1    , 1        , 0    , 0  , 0    , 0    , 0    , 0 
  050,LOR600  Ver 1.0  , 6       , 230    , 0    , 1   , 0    , 1        , 0    , 0  , 0    , 0    , 0    , 0 
  051,LC16    Ver 4.?  , 16      , 200    , 0    , 0   , 1    , 1        , 0    , 0  , 0    , 0    , 0    , 0 
  055,LOR600S Ver 1.0  , 6       , 31000  , 0    , 1   , 0    , 1        , 0    , 0  , 0    , 0    , 0    , 0  
  055,LOR600D Ver 1.0  , 6       , 64000  , 0    , 1   , 0    , 1        , 0    , 0  , 0    , 0    , 0    , 0 
  061,ELD16   Ver 4.?  , 16      , 200    , 0    , 0   , 1    , 1        , 0    , 0  , 0    , 0    , 0    , 0
  070,Pixie2  Ver 1.?  , 800     , 130000 , 0    , 1   , 2    , 1        , 0    , 0  , 0    , 4    , 0    , 0
  071,Pixie2P Ver 1.?  , 800     , 130000 , 0    , 1   , 2    , 1        , 0    , 0  , 0    , 4    , 0    , 0
  075,Pixie4  Ver 1.?  , 1600    , 130000 , 0    , 1   , 4    , 1        , 0    , 0  , 1    , 5    , 0    , 0
